ID,race/ethnicity,gender,dob,age,years_education,Shipley_score,aeisil,astianes,audord,bineald,comcear,derianes,emtrop,enbew,fonbet,genogis,hivint,imvelt,magrelts,nuspril,poffute,praroon,rivolzy,rogiom,rolap,rotoule,roturt,socune,tamards,tecioos,ulbin,WL_aeisil,WL_astianes,WL_audord,WL_bineald,WL_comcear,WL_derianes,WL_emtrop,WL_enbew,WL_fonbet,WL_genogis,WL_hivint,WL_imvelt,WL_magrelts,WL_nuspril,WL_poffute,WL_praroon,WL_rivolzy,WL_rogiom,WL_rolap,WL_rotoule,WL_roturt,WL_socune,WL_tamards,WL_tecioos,WL_ulbin
SMB009,"White, not of Hispanic Origin",Male,6/2/2005,20,16,27,To do a task with great ease; effortless,"To purposely explode, cause a large mess with intention",To barricade at of immediate danger,To fasten with a banadge,To shield and armor ones self,impending doom influenced by enviornment,To fool one with a joke,To color something deeply,To look silly or foolish; act opposite of ones character,Nauseous feeling after driving,"A shallow ditch, often covered or not visible ",To invalidate one's claim,"To dissolve, due to old age and decay",Failure to physically grow,To be musically inclined; high expertise in music,To move discretely; almost hidden,Argumentive; confrontational to those with differing opinons,To silently fight against something; often internal,To bore; monotone and lacking in excitement,To tease apart; like the ends of fabric,To switch arguments; finding oneself agreeing with other party despite previous claims,Pristine; like in royalty,To cause chaos; loud and in a large setting,Highly detailed; fine marks and designs in art,"To attach to, to connect deeply to an object",2,3,2,1,4,1,1,3,2,1,5,4,1,1,5,2,3,4,2,2,4,2,3,1,3
SMB010,"White, not of Hispanic Origin",Male,9/24/2007,18,14,32,A specific and very fancy brand of ginger ale,To abstain from doing something,A person who is obsessed with audio/the science behind human hearing,To belittle someone for their lack of hair/balding :(,A smear campaign against someone that ends up compromising/ruining their image,A new clothing accessory for one's derriere (butt) that tightly fits around it,To put an animal inside a tropical enviornment when it usually is not in one,To charge with some sort of spiritual energy,"Betting on something without the desire to actually pay their portion of it, faux bet?",A biological term relating to DNA/genomes,When a queen bee leaves its hive and leaves it without a leader,To invent something but then realizing someone else did it first,"Magnets that fuse to each other, used in construction to fuse metal",A part of the body somewhere inside the nasal cavity?!,A puffy brush used for applying makeup powders,A dark red color similar to maroon,"With fervor and passion, revenge-like feeling","Word meaning a smaller part of a region, a subsection","The opposite of polar environment, tropical and warm area",A fancy rotating metal stand for plates of food used in restaurants,A condescending response to another person's argument,To withdraw from something in a sad/solemn manner,"A kind of British chocolate candy, similar to Maltesers in the sense that they're chocolate covered balls of wafer","Slang term for IT workers, used in a teasing manner probably","Fancy dish made using super expensive sea urchins, served in upscale dining",5,3,6,4,5,4,3,6,2,1,2,5,4,6,7,5,7,3,3,3,6,3,7,1,2
SMB011,Asian or Pacific Islander,Male,5/19/1997,28,18,28,Something with sharp or pointed object,To ask for some help on guidance to complete a task,It can be used for problem with audio or hearing,To intertwine or interlock items. To create a new item/thing,A act or series of art being performed,To define someone being doing anything to make things happen or someone wanting things the way they wanted it to go the way they wanted too,To apply new technique to complete a task in a simpler manner,To make something homemade similar to homemade apple cider or brew something at home,To place a challenge or gamble,A cycle similar to gluconeosis or glycolysis,To act as a barrier or hinder something to block its course.,To embed something that becomes a part of your daily life,Small items made out of some kind of desert,A type of nasal spray or medicine,To disrupt something that it cannot be used or be useful,To forgive someone based on their act or offense,A personality that someone is explaning he/she does something specific that makes them rivolzy,A bubble similar to biome,It could be a full circle in a rowing session,"A game where you pass a ball or object to a group who are placed in a circle in a beat, or to a music",To rotate something like cream to make butter,To scout someone or something specific,Defining a group of people who cause inconvenience similar to people causing riots or any noise pollution,A tech people who specializes on specific department,A word similar to globulin and may be a component within human body ,4,5,4,3,6,4,6,7,5,7,5,4,7,6,3,4,6,2,6,2,4,1,6,1,4
SMB012,"White, not of Hispanic Origin",Female,10/8/2002,23,18,35,A cleaner for your windows,Tablets you drop in water that fizz and taste gross,To speak eloquently,A pencil that can't be erased,A device that takes pictures for you,A banana-like fruit that isn't sweet,To read something speedily,To relax in the sun after a long day,A sprinkling of powdered sugar on top of a dessert,A green fried food you can eat with your hands for breakfast,When you sneeze while driving,A weird fabric used for carpeting,Small furry rodent-like creatures that live in your walls,A medicine to cure eustachian tube dysfunction,A large umbrella,An extremely large and scary and mean bird that is yellow and feathered,A silly word game for kids,When a man is acting hormonal,A difficult math equation,When a bunch of rope is nicely coiled together,An argument about politics,A clock that tells you how many hours of daylight are left,Small gold coins used in games,Gum wrappers that are crumpled up,A stringed instrument similar to a banjo but even smaller and better,5,6,5,4,5,6,7,5,4,5,3,3,4,3,5,5,5,4,5,3,3,2,2,2,2
SMB014,"White, not of Hispanic Origin",Female,9/28/1995,30,18,31,A piece of artwork hung high in the air,The flecks that fall off of something that flies,To hear something familiar,Describes someone acting boldly,To be comforting and generous with one's time,The backside of a winged animal,To quickly pick up and drop,To bestow onto another person,Something worn on the head,An inherited personality trait (a positive one),The glimmer of a window,To hold closely while moving quickly,A type of food eaten traditionally on a winter holiday,A medicine that treats aches in the outer extremities,To stress out about something,A nocturnal rodent found in New Zealand,A Rivalry between cousins,A challenging math problem,A type of metal bag that carries heavy items,"A delicious ""peasant"" dish made originally in Northern France","A very stern, pointed reply",To desire to see someone,The feet of a rare type of rodent,Describes one acting smart about something they know nothing about,A type of deep sea creature,4,3,5,3,4,4,6,7,2,2,3,4,3,2,5,2,2,2,5,5,3,3,3,1,5
SMB016,"White, not of Hispanic Origin",Female,11/4/2003,22,17,34,To get back with your ex partner,"A fish, similar to sardines, found in the tropics.",To clap for too long after a performance,To go bald voluntarily,To speak ill of a family member,"A type of fruit, like a mango, only found in South East Asia",To trap a bear in a net,To give someone who has pockets your phone when one does not have pockets themselves. ,A hat one wears with a feather tucked on the outside,A disease similar to food poisoning.,To hide food in your bedroom,To tell someone something is about to happen,A type of heart palpitation one gets from a bad hangover.,A medicine given over-the-counter for sinus infections.,To get off on the wrong floor during an elevator ride.,To ask someone to buy you something when you have no intent of paying them back.,A beer made in the Czech Republic,A fancy suit only worn by fathers for traditional ceremonies.,To tell someone the same story you've already told them before.,To accidentally skip someone's turn while playing a card game,The feeling one gets when they've been spinning around for too long.,To ask someone for a pencil when you don't have one.,A mental condition where one laughs at other people's pain.,A traditional dish from Missouri.,To drink too much coffee and then get a headache.,3,3,5,5,6,4,3,7,4,5,6,7,5,6,4,3,2,6,5,5,6,5,5,1,5
SMB018,Other (both Asian/White),Female,12/11/2005,20,15,30,"A cleaning spray used to clean surfaces such as floors, tables, or kitchen counters",A cluster of stars in the sky whose shape are hard to make out,A revered elegant political figure who is highly influential,An old man that holds lots of knowledge and constantly tells stories/gives wisdom from his life to others,To conceal the surface of an object (such as a window) so completely that it can no longer be seen,"Roads that wind sharply from one direction to the next, often in woody areas","To step on to an object with heavy force, with neglect to the object","To infuse something with a certain feeling or mood that reflects the artist's personality (e.g., music that shows an artist's personality)",A cake topping such as flowers or figures/pictures that are used for decoration for a certain event but are not edible,The start of an idea before it is fully formed in the mind or verbalized aloud,To turn away from a person or idea that is not right/suitable without second thought,To puncture the surface on an object with tiny pelts,"Tiny, fish-like/tadpole creatures that live underwater",A medicine taken to clear the sinuses (nasal sparay),To emphatically refuse to do an activity (such as a chore that must be done),"A person who is highly critical of others, but whose criticisms reflect their insecurities",A messy conflict between groups of people that often refults in violence or frenzy,A set of governmental rules that must be followed by the power put in place,"To envelope an object by rolling it up (e.g., salad wraps or also gift wrapping)","The round object found in the center of a wheel (such as car wheels, bicycle wheels, etc.)",The return back to the original idea that you had after considering all other options,"An old, majestic tree that lasts for many years","A group of people whose styles of living deviate from the norm and resort to traditional ways of living (e.g., using more natural products from the earth/eating natural food)","Highly influential and powerful people that have made significant differences in areas like business or pop culture, and have made a lasting impression on others","A long, gray beard that is found on wise, old men often in fictional stories",1,3,2,3,4,3,2,7,4,6,4,5,7,6,7,4,7,4,7,3,4,3,7,3,7
SMB017,Asian or Pacific Islander,Male,9/1/2005,20,17,31,The feeling when you drop an egg.,The word for the specific kind of smudge-proof paint used on keyboards.,A 14th century curse word to describe an evil land lord.,The part of a pen made to clip on to things.,A group of friends who exclusively eat caesar salads around America in hopes of finding the best one.,The grooves made in fake wood furniture to simulate the feeling of wood.,A word to describe if it ever started snowing in rain forests.,The tallest point on a King's golden crown.,"In the regency era, the fabric used to make a bonnet.",The first phoneme in the bible.,"A computer application designed to generate hints for the ""create a hint"" section when making a new password.","Sitting around a fire with friends, distracted by conversation, and burning the wood stick and marshmallow.",A term that derrives from the 14th century to describe when someone gets the plague to when symptoms start showing.,A drug brand that helps with nasal congestion.,"The word for a poofy dress just coming out of the box instead of all poofy and pretty, its shriveled up.",A new animal discovered that makes parrot noises but looks like a monkey.,An interprative dance style created by early settlers in the colonies.,"A newly discovered element that, when inhaled, turns you into a cowboy. ",A term in track/field used to describe a one and three quarter laps around a track.,A sheer fabric embossed with diamonds.,When someone's retort does not hit as hard as the original statement.,A comically small scone.,A type of candy made from tamarids.,"The mispronunciation of ""tacos"" when Mexican food gained steam in the US.",An automated trash can that closes too quickly.,5,4,3,7,4,5,6,5,6,3,3,3,5,7,2,1,7,4,2,5,4,5,3,2,6
SMB019,"White, not of Hispanic Origin",Female,6/12/2002,23,16,28,A type of oil based dressing typically added to green salads,To hold off or delay something like an action or event,To love or really enjoy something,A item that is used to hold bins.,To apply something on top of something to conceal it,To be not well mentally,To overtake or monopolize something,A type of pasta shape that is eaten,A type of pastry that is custard filled and of French origin.,A type of carby food that is made of potatoes,An indicator that will help you reveal the meaning of something.,To create something such as a concept or idea,A type of sandwich like food that is heated. Typically has cheese on it,A brand name of a type of medication. The medication being a nose spray,An item used to clean that is small and puffy. Similar to a loofa.,To move about an area at a slow pace,To have a rivalry with someone,An indicator of where something may be located on a map,To surpass someone while running,A type of fabric to be added on a dress,A catagory of food that you eat. Usually liquidy and milk based.,A sandy region that lacks green plant life,A flavor of ice cream.,To have more advanced knowledge of a topic,An indicator of a level in the body that tells about kidney function,2,6,7,3,6,5,5,2,2,5,2,6,2,4,5,2,5,2,7,3,6,5,6,1,6
SMB013,"White, not of Hispanic Origin",Female,8/19/2005,20,16,37,Lighter than air,The pieces that make up a complex machine,Making sound that is not heard,Having two symmetrical sides,To clean off a surface,A small berry,A tool used for manufacturing,To add liquid to something,To make a deal,A biological process related to DNA creation,Very thin or narrow,Overwhelmed with emotion,An ingredient used to preserve food,A machine that sprays water,To ignore someone,A hole built as a habitat for a group of rodents,Chaotic motion,Able to be transported,"A bag used to carry large, heavy objects",Art made from circles of paper,Flipped upside down,Made from volcanic rock,A body part found in birds,An artificial sugar replacement,A dark shade of red,2,2,3,5,2,2,2,4,2,2,2,2,3,2,4,3,3,2,3,3,2,4,4,2,3
